sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-16 13:58:40.381 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 963786170, 126.96346282958984, -85.0109634399414, 145.72132873535156, -0.34452823, -0.073330805, 0.39491463, 0
2, 963802837, 126.01729583740234, -85.05367279052734, 146.47312927246094, -0.16862985, -0.053640068, 0.26937485, 0
3, 963819504, 125.18424224853516, -85.1041488647461, 147.06869506835938, 0.06327361, -0.0010489463, 0.15209007, 0
4, 963836171, 124.23502349853516, -85.164306640625, 147.77906799316406, 0.2537232, -0.010425092, 0.05972767, 0
5, 963852838, 122.97770690917969, -85.23967742919922, 148.83709716796875, 0.30781937, -0.074328564, -0.0045614243, 0
6, 963869505, 121.5142822265625, -85.33460998535156, 150.11663818359375, 0.31633455, -0.1504517, 0.03929138, 0
7, 963886172, 119.90807342529297, -85.43992614746094, 151.5847625732422, 0.28310105, -0.27469853, 0.11983013, 0
8, 963902839, 118.27586364746094, -85.54359436035156, 153.1549072265625, 0.32021248, -0.33456224, 0.18488693, 0
9, 963919506, 116.70585632324219, -85.65098571777344, 154.70083618164062, 0.23543917, -0.3287672, 0.19974136, 0
10, 963936173, 115.03353881835938, -85.76303100585938, 156.35903930664062, 0.16561201, -0.3522561, 0.3018427, 0
11, 963952840, 113.63470458984375, -85.8646469116211, 157.72607421875, 0.019939814, -0.33294064, 0.34012127, 0
